Category: All categories
Month,residential schools: (Canada)
2004-01,42
2004-02,51
2004-03,67
2004-04,38
2004-05,31
2004-06,46
2004-07,17
2004-08,22
2004-09,24
2004-10,36
2004-11,87
2004-12,38
2005-01,49
2005-02,32
2005-03,34
2005-04,46
2005-05,40
2005-06,43
2005-07,17
2005-08,15
2005-09,17
2005-10,40
2005-11,63
2005-12,24
2006-01,22
2006-02,48
2006-03,47
2006-04,45
2006-05,43
2006-06,37
2006-07,16
2006-08,7
2006-09,23
2006-10,44
2006-11,47
2006-12,29
2007-01,31
2007-02,27
2007-03,46
2007-04,42
2007-05,35
2007-06,24
2007-07,14
2007-08,25
2007-09,30
2007-10,41
2007-11,51
2007-12,30
2008-01,41
2008-02,36
2008-03,37
2008-04,54
2008-05,35
2008-06,79
2008-07,23
2008-08,16
2008-09,29
2008-10,40
2008-11,44
2008-12,28
2009-01,37
2009-02,39
2009-03,44
2009-04,43
2009-05,47
2009-06,32
2009-07,15
2009-08,12
2009-09,21
2009-10,33
2009-11,56
2009-12,36
2010-01,39
2010-02,29
2010-03,42
2010-04,41
2010-05,32
2010-06,32
2010-07,13
2010-08,9
2010-09,19
2010-10,32
2010-11,41
2010-12,29
2011-01,27
2011-02,32
2011-03,38
2011-04,39
2011-05,31
2011-06,25
2011-07,10
2011-08,11
2011-09,18
2011-10,43
2011-11,50
2011-12,35
2012-01,38
2012-02,39
2012-03,43
2012-04,44
2012-05,40
2012-06,34
2012-07,15
2012-08,11
2012-09,24
2012-10,39
2012-11,50
2012-12,33
2013-01,37
2013-02,41
2013-03,50
2013-04,49
2013-05,37
2013-06,31
2013-07,21
2013-08,12
2013-09,29
2013-10,41
2013-11,47
2013-12,40
2014-01,46
2014-02,38
2014-03,64
2014-04,58
2014-05,51
2014-06,42
2014-07,17
2014-08,11
2014-09,30
2014-10,46
2014-11,50
2014-12,38
2015-01,48
2015-02,48
2015-03,55
2015-04,55
2015-05,48
2015-06,96
2015-07,22
2015-08,14
2015-09,31
2015-10,45
2015-11,82
2015-12,58
2016-01,61
2016-02,55
2016-03,58
2016-04,78
2016-05,69
2016-06,63
2016-07,17
2016-08,14
2016-09,54
2016-10,79
2016-11,81
2016-12,61
2017-01,72
2017-02,63
2017-03,88
2017-04,82
2017-05,68
2017-06,71
2017-07,30
2017-08,26
2017-09,70
2017-10,85
2017-11,95
2017-12,65
2018-01,77
2018-02,56
2018-03,66
2018-04,86
2018-05,83
2018-06,71
2018-07,23
2018-08,46
2018-09,89
2018-10,100
2018-11,86
2018-12,54
2019-01,73
2019-02,63
2019-03,66
2019-04,69
2019-05,70
2019-06,82
